"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","extracellular matrix organization","39/417","331/18860",0.117824773413897,5.32895737790432,11.9476609767861,1.22762662989462e-17,1.94017628911342e-14,1.69757126001136e-14,"COL11A1/CTSK/DPT/ERO1B/P4HA1/MMP7/MMP1/MMP12/POSTN/MMP14/FLRT2/ERO1A/GREM1/COL1A1/SERPINB5/MIA/COMP/ANTXR1/COL3A1/PXDN/MATN3/FAP/COL5A2/MMP9/FERMT1/SULF2/MMP11/ITGA2/TGFBI/ADAMTS12/ADAMTS6/COL12A1/AEBP1/COL1A2/PRSS2/PRSS1/SULF1/LOXL2/MIR27B",39
"GO:0043062","extracellular structure organization","39/417","332/18860",0.117469879518072,5.31290630146485,11.9216500293462,1.36349369769985e-17,1.94017628911342e-14,1.69757126001136e-14,"COL11A1/CTSK/DPT/ERO1B/P4HA1/MMP7/MMP1/MMP12/POSTN/MMP14/FLRT2/ERO1A/GREM1/COL1A1/SERPINB5/MIA/COMP/ANTXR1/COL3A1/PXDN/MATN3/FAP/COL5A2/MMP9/FERMT1/SULF2/MMP11/ITGA2/TGFBI/ADAMTS12/ADAMTS6/COL12A1/AEBP1/COL1A2/PRSS2/PRSS1/SULF1/LOXL2/MIR27B",39
"GO:0045229","external encapsulating structure organization","39/417","333/18860",0.117117117117117,5.29695162788688,11.8957438868562,1.51379164300137e-17,1.94017628911342e-14,1.69757126001136e-14,"COL11A1/CTSK/DPT/ERO1B/P4HA1/MMP7/MMP1/MMP12/POSTN/MMP14/FLRT2/ERO1A/GREM1/COL1A1/SERPINB5/MIA/COMP/ANTXR1/COL3A1/PXDN/MATN3/FAP/COL5A2/MMP9/FERMT1/SULF2/MMP11/ITGA2/TGFBI/ADAMTS12/ADAMTS6/COL12A1/AEBP1/COL1A2/PRSS2/PRSS1/SULF1/LOXL2/MIR27B",39
"GO:0007586","digestion","23/417","148/18860",0.155405405405405,7.02864735238836,11.0713915006462,1.92035928741152e-13,1.84594536502433e-10,1.61512323225454e-10,"AMY2A/CHRM3/PNLIP/PNLIPRP2/SERPINA3/GCNT3/CTRB1/CTRB2/KCNN4/TFF2/TFF1/PLS1/MUC13/SST/NMU/CLPS/CD36/PRSS2/PRSS1/PRSS3/CEL/HEPH/VSIG1",23
"GO:0030199","collagen fibril organization","16/417","71/18860",0.225352112676056,10.1921842807444,11.6683013828109,2.58310756463626e-12,1.98640971720528e-09,1.73802353191105e-09,"COL11A1/DPT/P4HA1/ERO1A/GREM1/COL1A1/COMP/COL3A1/PXDN/COL5A2/MMP11/ADAMTS12/COL12A1/AEBP1/COL1A2/LOXL2",16
"GO:0042445","hormone metabolic process","27/417","246/18860",0.109756097560976,4.96402877697842,9.41013972384586,7.77142863628026e-12,4.9801905177496e-09,4.35745367044767e-09,"NR5A2/CTSK/ERO1B/CYP2C18/PNLIP/ANPEP/CHST9/DHRS9/UGT1A1/UGT1A8/UGT1A7/UGT1A3/UGT1A9/CORIN/UGT2B15/UGT2B7/UGT2B10/UGT2B17/SULT1B1/ADH1B/PCSK1/SLC16A10/INHBA/SLC30A8/SDR16C5/CEL/ALDH1A1",27
"GO:0050878","regulation of body fluid levels","33/417","389/18860",0.0848329048843188,3.83680716095504,8.50101897714755,4.29819745666525e-11,2.36093846012541e-08,2.06572016112814e-08,"CELA2A/CHRM3/ANGPTL1/ANXA8/PLAU/ANO1/OAS2/SCNN1A/TSPAN8/DGKH/PDIA2/TTR/COMP/CEACAM1/KCNN4/HK2/COL3A1/XDH/FAP/FN1/KLKB1/F11/NPR3/ITGA2/CD36/CFTR/AGR2/TFPI2/ANGPT2/FGL1/PLAT/CEL/F8",33
"GO:0031589","cell-substrate adhesion","30/417","369/18860",0.0813008130081301,3.67705835331735,7.80912538916469,9.40730736263312e-10,4.52138710116554e-07,3.9560203067073e-07,"PLAU/COL17A1/LYVE1/MMP12/POSTN/MMP14/GREM1/ONECUT1/ITGA11/CDH11/ITGA3/ITGB4/COL1A1/CEACAM6/ANTXR1/COL3A1/ITGB6/FN1/FERMT1/COL8A1/LEF1/ITGA2/ADAMTS12/EDIL3/EFNA5/PKHD1/CD36/AGR2/ADAM9/ANGPT2",30
"GO:0006805","xenobiotic metabolic process","18/417","135/18860",0.133333333333333,6.03037569944045,8.81998746133822,1.09710067291062e-09,4.56608740495598e-07,3.99513116042415e-07,"CYP2C18/SLCO1B3/NQO1/AOX1/UGT1A1/UGT1A6/UGT1A10/UGT1A8/UGT1A7/UGT1A3/UGT1A9/UGT2B15/UGT2B7/UGT2B17/SULT1B1/GSTA2/GSTA1/MIR27B",18
"GO:0043588","skin development","28/417","329/18860",0.0851063829787234,3.84917597836624,7.83933763601725,1.2469256978909e-09,4.56608740495598e-07,3.99513116042415e-07,"DKK1/KRT7/KRT6C/KRT6A/KRT6B/KRT5/SCEL/CDH3/KRT17/ITGA3/ITGB4/TRIM16/COL1A1/COMP/REG3G/COL3A1/REG3A/ITGB6/COL5A2/IGFBP5/FERMT1/ITGA2/FOXQ1/CD109/COL1A2/MET/INHBA/ADAM9",28
"GO:0007160","cell-matrix adhesion","24/417","246/18860",0.0975609756097561,4.41247002398082,8.10080388810203,1.30629288568311e-09,4.56608740495598e-07,3.99513116042415e-07,"PLAU/COL17A1/LYVE1/MMP12/POSTN/MMP14/GREM1/ONECUT1/ITGA11/CDH11/ITGA3/ITGB4/CEACAM6/COL3A1/ITGB6/FN1/FERMT1/LEF1/ITGA2/ADAMTS12/EFNA5/PKHD1/CD36/ADAM9",24
"GO:0001523","retinoid metabolic process","14/417","87/18860",0.160919540229885,7.27803963725571,8.82527839550605,6.69327749243543e-09,2.14463766320118e-06,1.87646621630032e-06,"CYP2C18/PNLIP/TTR/DHRS9/UGT1A1/UGT1A8/UGT1A7/UGT1A3/UGT1A9/ADH1B/CLPS/SDR16C5/CEL/ALDH1A1",14
"GO:0009812","flavonoid metabolic process","7/417","14/18860",0.5,22.6139088729017,12.164641518067,7.37643082821519e-09,2.18172127188365e-06,1.90891278760937e-06,"UGT1A1/UGT1A10/UGT1A8/UGT1A7/UGT1A3/UGT1A9/SULT1B1",7
"GO:0016101","diterpenoid metabolic process","14/417","91/18860",0.153846153846154,6.95812580704667,8.56685414362378,1.21985553581637e-08,3.35024609658139e-06,2.93132202441287e-06,"CYP2C18/PNLIP/TTR/DHRS9/UGT1A1/UGT1A8/UGT1A7/UGT1A3/UGT1A9/ADH1B/CLPS/SDR16C5/CEL/ALDH1A1",14
"GO:0035987","endodermal cell differentiation","11/417","53/18860",0.207547169811321,9.38690556988372,9.19372481453937,1.79105567814416e-08,4.59107272164287e-06,4.01699224375351e-06,"COL11A1/LAMB3/DKK1/MMP14/LAMA3/COL5A2/FN1/MMP9/COL8A1/COL12A1/INHBA",11
"GO:0042060","wound healing","31/417","453/18860",0.0684326710816777,3.09506037554063,6.78681033416875,2.92860675524969e-08,7.03780810870941e-06,6.15778104590658e-06,"CELA2A/ANGPTL1/ANXA8/PLAU/MYOF/MMP12/KRT6A/TSPAN8/DGKH/PDIA2/COMP/CEACAM1/REG3G/COL3A1/REG3A/ITGB6/FAP/FN1/FERMT1/DCBLD2/KLKB1/F11/ITGA2/CD109/CD36/TFPI2/ANGPT2/FGL1/PLAT/EPB41L4B/F8",31
"GO:0009410","response to xenobiotic stimulus","30/417","443/18860",0.0677200902934537,3.06283190152167,6.6064451375188,6.2130211951122e-08,1.40523920560038e-05,1.22952419440115e-05,"CENPF/CYP2C18/SLC1A2/MMP7/ENO2/SLCO1B3/ABAT/NQO1/ITGA3/COL1A1/FOSB/AOX1/UGT1A1/UGT1A6/UGT1A10/UGT1A8/UGT1A7/UGT1A3/UGT1A9/SST/UGT2B15/UGT2B7/UGT2B17/SULT1B1/ITGA2/GSTA2/GSTA1/SEMA3C/MIR27B/LCN2",30
"GO:0006721","terpenoid metabolic process","14/417","106/18860",0.132075471698113,5.97348536265327,7.72108610192305,8.93334509784926e-08,1.90826177229058e-05,1.66964742296645e-05,"CYP2C18/PNLIP/TTR/DHRS9/UGT1A1/UGT1A8/UGT1A7/UGT1A3/UGT1A9/ADH1B/CLPS/SDR16C5/CEL/ALDH1A1",14
"GO:0001706","endoderm formation","11/417","62/18860",0.17741935483871,8.02429024522318,8.33017346551843,9.98929959332855e-08,2.02151878612359e-05,1.76874246538936e-05,"COL11A1/LAMB3/DKK1/MMP14/LAMA3/COL5A2/FN1/MMP9/COL8A1/COL12A1/INHBA",11
"GO:0007596","blood coagulation","21/417","243/18860",0.0864197530864197,3.90857684222992,6.86183710536152,1.16787373418795e-07,2.24523725397634e-05,1.96448655498142e-05,"CELA2A/ANGPTL1/ANXA8/PLAU/TSPAN8/DGKH/PDIA2/COMP/CEACAM1/COL3A1/FAP/FN1/KLKB1/F11/ITGA2/CD36/TFPI2/ANGPT2/FGL1/PLAT/F8",21
"GO:0050817","coagulation","21/417","248/18860",0.0846774193548387,3.82977488976561,6.7451681650205,1.64881979990074e-07,3.0189105383897e-05,2.64141758420189e-05,"CELA2A/ANGPTL1/ANXA8/PLAU/TSPAN8/DGKH/PDIA2/COMP/CEACAM1/COL3A1/FAP/FN1/KLKB1/F11/ITGA2/CD36/TFPI2/ANGPT2/FGL1/PLAT/F8",21
"GO:0045922","negative regulation of fatty acid metabolic process","10/417","52/18860",0.192307692307692,8.69765725880834,8.35796423562602,1.73102864095523e-07,3.02536596566948e-05,2.64706580693441e-05,"CEACAM1/UGT1A1/UGT1A6/UGT1A4/UGT1A10/UGT1A8/UGT1A7/UGT1A3/UGT1A9/ACADL",10
"GO:0007599","hemostasis","21/417","250/18860",0.084,3.79913669064748,6.69934740421949,1.8877570004401e-07,3.1558372463879e-05,2.76122259652473e-05,"CELA2A/ANGPTL1/ANXA8/PLAU/TSPAN8/DGKH/PDIA2/COMP/CEACAM1/COL3A1/FAP/FN1/KLKB1/F11/ITGA2/CD36/TFPI2/ANGPT2/FGL1/PLAT/F8",21
"GO:0022600","digestive system process","14/417","116/18860",0.120689655172414,5.45852972794178,7.24271003107708,2.79936156884396e-07,4.48481051341877e-05,3.92401735702864e-05,"CHRM3/PNLIP/SERPINA3/GCNT3/KCNN4/TFF2/TFF1/PLS1/MUC13/NMU/CD36/CEL/HEPH/VSIG1",14
"GO:0001704","formation of primary germ layer","15/417","135/18860",0.111111111111111,5.02531308286704,7.05776527244221,3.14950027034005e-07,4.843931415783e-05,4.23823278484497e-05,"COL11A1/LAMB3/DKK1/MMP14/ITGA3/ITGB4/LAMA3/COL5A2/FN1/MMP9/COL8A1/LEF1/ITGA2/COL12A1/INHBA",15
"GO:0042573","retinoic acid metabolic process","8/417","33/18860",0.242424242424242,10.9643194535281,8.61441173932025,4.56750896978485e-07,6.74364820103152e-05,5.9004037096699e-05,"CYP2C18/DHRS9/UGT1A1/UGT1A8/UGT1A7/UGT1A3/UGT1A9/ADH1B",8
