"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"7896742",-0.365488,5.11160733333333,-4.29576968392067,4.352319017199e-05,0.000404862873595358,1.69975799932547,"PCMTD2","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2"
"7896742",-0.365488,5.11160733333333,-4.29576968392067,4.352319017199e-05,0.000404862873595358,1.69975799932547,"LINC01881","long intergenic non-protein coding RNA 1881"
"7896746",-0.513793555555554,6.28493166666666,-3.95705350343746,0.000150207837857325,0.00110430001584292,0.53349894201938,"MTND1P23","MT-ND1 pseudogene 23"
"7896748",-0.613296222222224,6.99889655555556,-3.61272256952977,0.000496099901794036,0.00290152108283874,-0.582405412728913,NA,NA
"7896750",-0.715988888888888,2.33615311111111,-4.45593443650321,2.37394424582329e-05,0.000247056223621747,2.27317836100224,NA,NA
"7896752",-0.451071999999999,5.53455888888889,-2.82814887514353,0.00575834227157566,0.01988725721236,-2.82943807703731,NA,NA
"7896756",-0.404921333333333,2.93907622222222,-5.2915168013171,8.32865159184807e-07,1.69802148873631e-05,5.46518140748033,"FAM87B","family with sequence similarity 87 member B"
"7896756",-0.404921333333333,2.93907622222222,-5.2915168013171,8.32865159184807e-07,1.69802148873631e-05,5.46518140748033,"FAM87A","family with sequence similarity 87 member A"
"7896759",-0.439548222222222,4.75803411111111,-4.77321428744205,6.89255327252423e-06,9.19697478861427e-05,3.44755670629158,"LINC01128","long intergenic non-protein coding RNA 1128"
"7896779",-0.144092222222223,4.51096566666667,-2.62426246692769,0.0101843659063126,0.0310139725052046,-3.33943014190781,"KLHL17","kelch like family member 17"
"7896817",0.257104222222222,4.11342344444444,4.25809392979045,5.01002855115354e-05,0.000454421519645276,1.56686132150713,"ISG15","ISG15 ubiquitin like modifier"
"7896822",0.435991333333333,5.26181988888889,4.70340569797113,9.08369622237259e-06,0.000114915524208446,3.18495951034761,"AGRN","agrin"
"7896865",-0.123865111111111,4.15761055555556,-2.87200203338708,0.0050746259704612,0.0179983651006417,-2.71556516850697,"TTLL10","tubulin tyrosine ligase like 10"
"7896878",-0.152605777777777,4.99839022222222,-2.54763248276744,0.0125236745957574,0.0363472365441761,-3.52267496807228,"B3GALT6","beta-1,3-galactosyltransferase 6"
"7896882",-0.149416888888889,3.961548,-3.60554667543341,0.000508236173623527,0.00295990923872052,-0.604868872898474,"SCNN1D","sodium channel epithelial 1 subunit delta"
"7897006",-0.141528666666668,5.00119522222222,-2.49069988769209,0.0145636841886286,0.0409186373568389,-3.65577556064577,"MMP23B","matrix metallopeptidase 23B"
"7897006",-0.141528666666668,5.00119522222222,-2.49069988769209,0.0145636841886286,0.0409186373568389,-3.65577556064577,"MMP23A","matrix metallopeptidase 23A (pseudogene)"
"7897066",-0.137303999999999,4.44654222222222,-2.61886648018029,0.01033513931988,0.0313573449317515,-3.35248618988793,"FAAP20","FA core complex associated protein 20"
"7897076",-0.161711111111112,2.99912844444445,-3.17902817532759,0.00202011101654404,0.00878083866239539,-1.87828450878518,NA,NA
"7897078",0.140295333333334,6.84174677777778,2.91329612003764,0.00449980726867317,0.0164027665932646,-2.60700833742746,"RER1","retention in endoplasmic reticulum sorting receptor 1"
"7897119",0.276810666666668,5.33460844444444,4.90415311259156,4.08347627899869e-06,6.01458554583741e-05,3.94621438113254,"PRXL2B","peroxiredoxin like 2B"
"7897132",-0.187511111111112,4.18174333333333,-2.70025196941696,0.00826245571917355,0.0264444383765877,-3.15313245973061,"PRDM16","PR/SET domain 16"
"7897154",0.229688444444445,4.38050133333333,4.05379658560903,0.000106102991055604,0.000835928063576467,0.859931691985508,"ARHGEF16","Rho guanine nucleotide exchange factor 16"
"7897172",0.200896222222221,6.94561522222222,3.94949277154332,0.000154311284826088,0.00112722987895859,0.508219085103085,"TPRG1L","tumor protein p63 regulated 1 like"
"7897227",-0.421575777777778,3.33782988888889,-5.08414346939216,1.965253468185e-06,3.31783054813058e-05,4.64415630768146,"AJAP1","adherens junctions associated protein 1"
"7897263",0.182728444444444,4.74738266666667,2.67759916888543,0.00879768763998994,0.0276787755534949,-3.2091426197464,"RNF207","ring finger protein 207"
"7897280",-0.182048,3.71500533333333,-2.98080661453363,0.00368773256823414,0.0141008147698479,-2.42678231709735,"HES3","hes family bHLH transcription factor 3"
"7897370",0.30636177777778,7.38401133333333,4.01666542521297,0.000121319337749757,0.000931365404606163,0.733996253417623,"VAMP3","vesicle associated membrane protein 3"
"7897378",-0.404889333333333,6.34154822222222,-3.39476625989133,0.00101945393785335,0.00511392106548884,-1.24960950736089,"PER3","period circadian regulator 3"
"7897422",-0.192031555555555,3.12589711111111,-3.13604934013754,0.00230674460074706,0.00970890944437484,-1.99962263409046,NA,NA
"7897424",-0.0870968888888894,3.06457511111111,-2.39759997812955,0.0185466243101658,0.0491890213330434,-3.86777188430695,NA,NA
"7897439",-0.114802444444444,3.68439744444444,-2.55682285358838,0.0122196218726619,0.0356583709533889,-3.5009451138599,NA,NA
"7897460",-0.199487333333332,5.10017544444444,-2.70602817766221,0.00813080188126929,0.0261215356677457,-3.13878638757566,"SLC25A33","solute carrier family 25 member 33"
"7897469",-0.164571777777777,3.93486833333333,-3.68190994107293,0.000392363588188621,0.00239423894048136,-0.364124442376175,"TMEM201","transmembrane protein 201"
"7897522",-0.504065111111112,3.56689588888889,-3.60319766871329,0.000512269690823435,0.00297859289111415,-0.612214987991179,"RBP7","retinol binding protein 7"
"7897527",-0.291517333333332,6.68608088888889,-3.98931223352179,0.000133843975447109,0.00100440388021383,0.641737950322379,"UBE4B","ubiquitination factor E4B"
"7897561",-0.150818444444444,6.30921811111111,-3.59806039497403,0.000521196935184924,0.00302380110969726,-0.628268488783593,"KIF1B","kinesin family member 1B"
"7897620",0.309995333333334,7.68283611111111,2.61079665376779,0.0105643944413065,0.0319187339744718,-3.37196881848218,"PGD","phosphogluconate dehydrogenase"
"7897632",-0.162658888888888,3.609237,-4.01998417629493,0.000119878437859646,0.000921888829612201,0.745219654635207,"CENPS-CORT","CENPS-CORT readthrough"
"7897632",-0.162658888888888,3.609237,-4.01998417629493,0.000119878437859646,0.000921888829612201,0.745219654635207,"CORT","cortistatin"
"7897632",-0.162658888888888,3.609237,-4.01998417629493,0.000119878437859646,0.000921888829612201,0.745219654635207,"CENPS","centromere protein S"
"7897691",-0.157218666666668,3.54325066666667,-3.19293381888414,0.00193472767333467,0.00848823689171758,-1.83874423143141,"DISP3","dispatched RND transporter family member 3"
"7897714",-0.166018,4.28504833333333,-3.15210117791824,0.00219552714656325,0.00935919841071675,-1.95445938656424,"FBXO44","F-box protein 44"
"7897745",0.17755688888889,5.446668,2.6652037964101,0.00910371207818513,0.0284247311253652,-3.2396207573947,"AGTRAP","angiotensin II receptor associated protein"
"7897801",0.462244444444445,5.70408955555555,2.59415018537311,0.011051885171787,0.0330115750671824,-3.41199456221043,"RNU5E-1","RNA, U5E small nuclear 1"
"7897803",0.555804000000002,5.92071466666667,5.96524391775789,4.61357253572922e-08,1.67323147655737e-06,8.24267383077134,"PLOD1","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
"7897955",-0.196156666666666,2.42232611111111,-3.55156095726243,0.000608982605145498,0.00342570514963861,-0.77279489234469,"AADACL4","arylacetamide deacetylase like 4"
"7897966",-0.108124,2.54300044444444,-2.66314373589547,0.0091554982178536,0.0285577682172876,-3.24467441959629,"CFAP107","cilia and flagella associated protein 107"
"7898020",-0.0896017777777782,2.84675822222222,-2.46002733683654,0.0157820091858453,0.043490914775312,-3.7263989397101,"PRAMEF10","PRAME family member 10"
"7898020",-0.0896017777777782,2.84675822222222,-2.46002733683654,0.0157820091858453,0.043490914775312,-3.7263989397101,"PRAMEF22","PRAME family member 22"
"7898020",-0.0896017777777782,2.84675822222222,-2.46002733683654,0.0157820091858453,0.043490914775312,-3.7263989397101,"PRAMEF33","PRAME family member 33"
"7898020",-0.0896017777777782,2.84675822222222,-2.46002733683654,0.0157820091858453,0.043490914775312,-3.7263989397101,"PRAMEF1","PRAME family member 1"
"7898020",-0.0896017777777782,2.84675822222222,-2.46002733683654,0.0157820091858453,0.043490914775312,-3.7263989397101,"PRAMEF18","PRAME family member 18"
"7898020",-0.0896017777777782,2.84675822222222,-2.46002733683654,0.0157820091858453,0.043490914775312,-3.7263989397101,"PRAMEF17","PRAME family member 17"
"7898020",-0.0896017777777782,2.84675822222222,-2.46002733683654,0.0157820091858453,0.043490914775312,-3.7263989397101,"PRAMEF2","PRAME family member 2"
"7898020",-0.0896017777777782,2.84675822222222,-2.46002733683654,0.0157820091858453,0.043490914775312,-3.7263989397101,"PRAMEF36P","PRAME family member 36, pseudogene"
"7898020",-0.0896017777777782,2.84675822222222,-2.46002733683654,0.0157820091858453,0.043490914775312,-3.7263989397101,"PRAMEF34P","PRAME family member 34, pseudogene"
"7898034",-0.0896017777777782,2.84675822222222,-2.46002733683654,0.0157820091858453,0.043490914775312,-3.7263989397101,"PRAMEF10","PRAME family member 10"
"7898034",-0.0896017777777782,2.84675822222222,-2.46002733683654,0.0157820091858453,0.043490914775312,-3.7263989397101,"PRAMEF22","PRAME family member 22"
"7898034",-0.0896017777777782,2.84675822222222,-2.46002733683654,0.0157820091858453,0.043490914775312,-3.7263989397101,"PRAMEF33","PRAME family member 33"
