"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","26/260","102/9382",0.254901960784314,9.19803921568627,14.054075983931,1.81255455298254e-18,3.04017474276723e-16,2.70210083629117e-16,"CELA2A/CELA2B/CELA3B/CELA3A/AMY2A/AMY1B/AMY1C/AMY1A/AMY2B/CHRM3/PNLIP/PNLIPRP1/PNLIPRP2/PLA2G1B/CTRB1/CTRB2/CTRL/CPB1/SLC4A4/CFTR/CPA2/CPA1/PRSS2/PRSS1/PRSS3/CEL",26
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","26/260","103/9382",0.252427184466019,9.10873786407767,13.9697133246135,2.36589474145309e-18,3.04017474276723e-16,2.70210083629117e-16,"CELA2A/CELA2B/CELA3B/CELA3A/COL11A1/COL17A1/CTRB1/CTRB2/CTRL/COL1A1/KCNN4/SLC3A1/COL3A1/COL5A2/COL6A3/COL8A1/CPB1/SLC16A10/COL12A1/COL10A1/COL1A2/CPA2/CPA1/PRSS2/PRSS1/PRSS3",26
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","19/260","68/9382",0.279411764705882,10.0824660633484,12.6898454068418,1.33078065875415e-14,1.14003543099939e-12,1.01326106298123e-12,"CYP2C18/DHRS9/AOX1/UGT1A1/UGT1A6/UGT1A4/UGT1A10/UGT1A8/UGT1A7/UGT1A5/UGT1A3/UGT1A9/UGT2B15/UGT2B7/UGT2B10/UGT2B17/ADH1B/SDR16C5/ALDH1A1",19
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","14/260","31/9382",0.451612903225806,16.2962779156328,14.4013694574843,1.93803909485623e-14,1.24519011844513e-12,1.10672232522053e-12,"UGT1A1/UGT1A6/UGT1A4/UGT1A10/UGT1A8/UGT1A7/UGT1A5/UGT1A3/UGT1A9/UGT2B15/UGT2B7/UGT2B10/UGT2B17/RGN",14
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","15/260","46/9382",0.326086956521739,11.7667224080268,12.3580007825171,6.93585817484877e-13,3.56503110187227e-11,3.1685920504046e-11,"UGT1A1/UGT1A6/UGT1A4/UGT1A10/UGT1A8/UGT1A7/UGT1A5/UGT1A3/UGT1A9/CP/UGT2B15/UGT2B7/UGT2B10/UGT2B17/HEPH",15
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","13/260","37/9382",0.351351351351351,12.6783783783784,12.0160011004744,8.30824776450529e-12,3.22223488667003e-10,2.86391550443332e-10,"UGT1A1/UGT1A6/UGT1A4/UGT1A10/UGT1A8/UGT1A7/UGT1A5/UGT1A3/UGT1A9/UGT2B15/UGT2B7/UGT2B10/UGT2B17",13
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","17/260","73/9382",0.232876712328767,8.40326659641728,10.720116667083,8.77651525552147e-12,3.22223488667003e-10,2.86391550443332e-10,"AOX1/UGT1A1/UGT1A6/UGT1A4/UGT1A10/UGT1A8/UGT1A7/UGT1A5/UGT1A3/UGT1A9/UGT2B15/UGT2B7/UGT2B10/UGT2B17/ADH1B/GSTA2/GSTA1",17
"Organismal Systems","Digestive system","hsa04976","Bile secretion","18/260","90/9382",0.2,7.21692307692308,10.0047987245161,3.2849174992806e-11,1.05527974664389e-09,9.37930391241961e-10,"SLC2A1/SLCO1B3/AQP8/UGT1A1/UGT1A6/UGT1A4/UGT1A10/UGT1A8/UGT1A7/UGT1A5/UGT1A3/UGT1A9/SLC4A4/UGT2B15/UGT2B7/UGT2B10/UGT2B17/CFTR",18
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","16/260","70/9382",0.228571428571429,8.24791208791209,10.2755874910254,4.96584924484189e-11,1.41802583991596e-09,1.26033834635168e-09,"CYP2C18/UGT1A1/UGT1A6/UGT1A4/UGT1A10/UGT1A8/UGT1A7/UGT1A5/UGT1A3/UGT1A9/UGT2B15/UGT2B7/UGT2B10/UGT2B17/GSTA2/GSTA1",16
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","16/260","79/9382",0.20253164556962,7.30827653359299,9.50558755107348,3.45336580877802e-10,8.87515012855952e-09,7.8882145316298e-09,"UGT1A1/UGT1A6/UGT1A4/UGT1A10/UGT1A8/UGT1A7/UGT1A5/UGT1A3/UGT1A9/UGT2B15/UGT2B7/UGT2B10/UGT2B17/ADH1B/GSTA2/GSTA1",16
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","16/260","82/9382",0.195121951219512,7.04090056285178,9.27541493702819,6.20354446802898e-10,1.44937357116677e-08,1.28820014312181e-08,"UGT1A1/UGT1A6/UGT1A4/UGT1A10/UGT1A8/UGT1A7/UGT1A5/UGT1A3/UGT1A9/XDH/UGT2B15/UGT2B7/UGT2B10/UGT2B17/GSTA2/GSTA1",16
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","16/260","89/9382",0.179775280898876,6.48712186689715,8.78067390244884,2.20480773854586e-09,4.69553933118544e-08,4.17338535681852e-08,"LAMC2/LAMB3/SV2B/ITGA11/ITGA3/ITGB4/COL1A1/LAMA3/COMP/ITGB6/FN1/COL6A3/ITGA2/THBS2/CD36/COL1A2",16
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","14/260","66/9382",0.212121212121212,7.65431235431235,9.15854784833916,2.37517553717551e-09,4.69553933118544e-08,4.17338535681852e-08,"DHRS9/UGT1A1/UGT1A6/UGT1A4/UGT1A10/UGT1A8/UGT1A7/UGT1A5/UGT1A3/UGT1A9/UGT2B15/UGT2B7/UGT2B10/UGT2B17",14
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","18/260","154/9382",0.116883116883117,4.21768231768232,6.79697917678018,2.33162755461159e-07,3.99485521023452e-06,3.55061880246116e-06,"AK4/NQO1/KYNU/UGT1A1/UGT1A6/UGT1A4/UGT1A10/UGT1A8/UGT1A7/UGT1A5/UGT1A3/UGT1A9/UGT2B15/UGT2B7/UGT2B10/UGT2B17/SDR16C5/RGN",18
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","18/260","154/9382",0.116883116883117,4.21768231768232,6.79697917678018,2.33162755461159e-07,3.99485521023452e-06,3.55061880246116e-06,"LAMC2/LAMB3/FBN1/ITGA11/ITGA3/ITGB4/COL1A1/LAMA3/COMP/ITGB6/FN1/COL6A3/FERMT1/EGF/ITGA2/THBS2/COL1A2/MET",18
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","8/260","36/9382",0.222222222222222,8.01880341880342,7.12307716304777,4.8211658621638e-06,7.7439976661006e-05,6.88284863216805e-05,"AMY2A/AMY1B/AMY1C/AMY1A/AMY2B/PGM2L1/HK2/G6PC2",8
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","20/260","233/9382",0.0858369098712446,3.09739187850776,5.47314478167701,6.89435244381048e-06,0.000104226386944664,9.26361907310758e-05,"COL11A1/ENO2/FBN1/ITGA11/ITGA3/ITGB4/COL1A1/DSG2/COMP/COL3A1/ITGB6/TTN/COL5A2/FN1/COL6A3/ITGA2/VCAN/THBS2/COL1A2/BGN",20
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","19/260","217/9382",0.0875576036866359,3.15948245303084,5.43349810346623,8.84882709379677e-06,0.000126341586839209,0.00011229213329555,"PADI1/LAMC2/S100A16/S100A14/LAMB3/COL17A1/KRT7/KRT6C/KRT6A/KRT6B/KRT5/KRT17/ITGB4/KRT19/LAMA3/DSG3/DSG2/CLDN18/EPHX2",19
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","17/260","203/9382",0.083743842364532,3.021864342554,4.91664164262334,4.69003390741687e-05,0.000634388796950598,0.000563843411584189,"LAMC2/LAMB3/ITGA11/ITGA3/ITGB4/COL1A1/LAMA3/COMP/ITGB6/FN1/COL6A3/EGF/ITGA2/THBS2/COL1A2/MET/PAK3",17
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","17/260","217/9382",0.0783410138248848,2.8269053527118,4.59669711844152,0.000107795436857785,0.00138517136362254,0.00123113735779681,"UGT1A1/UGT1A6/UGT1A4/UGT1A10/UGT1A8/UGT1A7/UGT1A5/UGT1A3/UGT1A9/EGF/UGT2B15/UGT2B7/UGT2B10/UGT2B17/GSTA2/GSTA1/EPHX2",17
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","10/260","88/9382",0.113636363636364,4.10052447552447,4.93334370855606,0.000151344596732943,0.00185216958858887,0.00164620438551622,"PLAU/SERPINA5/KLKB1/F11/C7/C6/CLU/PLAT/C5/F8",10
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","7/260","43/9382",0.162790697674419,5.8742397137746,5.40825464505372,0.000158841426723907,0.00185555666672928,0.00164921481335349,"PNLIP/PNLIPRP1/PNLIPRP2/PLA2G1B/CLPS/CD36/CEL",7
